name total correct accuracy error macro_f1
fgvc_aircraft/16shots/2ctx/8prompts/seed1 3333 979 29.4 70.6 28.1
fgvc_aircraft/16shots/2ctx/8prompts/seed2 3333 946 28.4 71.6 27.1
fgvc_aircraft/16shots/2ctx/8prompts/seed3 3333 922 27.7 72.3 26.4
fgvc_aircraft/16shots/4ctx/4prompts/seed1 3333 979 29.4 70.6 28.2
fgvc_aircraft/16shots/4ctx/4prompts/seed2 3333 989 29.7 70.3 28.4
fgvc_aircraft/16shots/4ctx/4prompts/seed3 3333 974 29.2 70.8 27.7
fgvc_aircraft/16shots/8ctx/2prompts/seed1 3333 929 27.9 72.1 26.7
fgvc_aircraft/16shots/8ctx/2prompts/seed2 3333 979 29.4 70.6 28.4
fgvc_aircraft/16shots/8ctx/2prompts/seed3 3333 987 29.6 70.4 28.7
fgvc_aircraft/16shots/16ctx/1prompts/seed1 3333 960 28.8 71.2 27.9
fgvc_aircraft/16shots/16ctx/1prompts/seed2 3333 984 29.5 70.5 28.3
fgvc_aircraft/16shots/16ctx/1prompts/seed3 3333 950 28.5 71.5 27.4
food101/1shots/1ctx/16prompts/seed1     
food101/1shots/1ctx/16prompts/seed2     
food101/1shots/1ctx/16prompts/seed3     
food101/1shots/2ctx/8prompts/seed1 30300 23374 77.1 22.9 76.9
food101/1shots/2ctx/8prompts/seed2 30300 23294 76.9 23.1 76.6
food101/1shots/2ctx/8prompts/seed3 30300 23317 77.0 23.0 76.6
food101/1shots/4ctx/4prompts/seed1 30300 22921 75.6 24.4 75.2
food101/1shots/4ctx/4prompts/seed2 30300 22741 75.1 24.9 74.7
food101/1shots/4ctx/4prompts/seed3 30300 22767 75.1 24.9 74.7
food101/1shots/8ctx/2prompts/seed1 30300 22381 73.9 26.1 73.3
food101/1shots/8ctx/2prompts/seed2 30300 22836 75.4 24.6 75.3
food101/1shots/8ctx/2prompts/seed3 30300 23022 76.0 24.0 75.7
food101/1shots/16ctx/1prompts/seed1 30300 21869 72.2 27.8 71.9
food101/1shots/16ctx/1prompts/seed2 30300 22879 75.5 24.5 75.3
food101/1shots/16ctx/1prompts/seed3 30300 22887 75.5 24.5 75.2
food101/2shots/1ctx/16prompts/seed1     
